"filename", "language", "Markdown", "XML", "HTML", "JavaScript", "PostCSS", "MS SQL", "Properties", "Java", "Shell Script", "Batch", "comment", "blank", "total"
"c:\Proyectos\MISO\2025 13 Modernizacion\order-management-system\src\main\java\com\example\crud\service\ProductService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 11, 25
"c:\Proyectos\MISO\2025 13 Modernizacion\order-management-system\src\main\java\com\example\crud\service\ProductServiceImpl.java", "Java", 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 17, 72
"c:\Proyectos\MISO\2025 13 Modernizacion\order-management-system\src\main\java\com\example\crud\service\UserQueryService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 24, 21, 110
"c:\Proyectos\MISO\2025 13 Modernizacion\order-management-system\src\main\java\com\example\crud\service\UserService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 11, 24
"c:\Proyectos\MISO\2025 13 Modernizacion\order-management-system\src\main\java\com\example\crud\service\UserServiceImpl.java", "Java", 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 2, 17, 78
"c:\Proyectos\MISO\2025 13 Modernizacion\order-management-system\src\main\resources\application.properties", "Properties", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 2, 3, 20
"c:\Proyectos\MISO\2025 13 Modernizacion\order-management-system\src\main\resources\db\migration\V2__Add_User_Queries_Table.sql", "MS SQL", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 3, 3, 16
"c:\Proyectos\MISO\2025 13 Modernizacion\order-management-system\src\main\resources\logback.xml", "XML", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 57
"c:\Proyectos\MISO\2025 13 Modernizacion\order-management-system\src\main\resources\static\css\orders.css", "PostCSS", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 2, 5, 31
"c:\Proyectos\MISO\2025 13 Modernizacion\order-management-system\src\main\resources\static\css\style.css", "PostCSS", 0, 0, 0, 0, 224, 0, 0, 0, 0, 0, 12, 44, 280
"c:\Proyectos\MISO\2025 13 Modernizacion\order-management-system\src\main\resources\static\js\orderForm.js", "JavaScript", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 5, 4, 31
"c:\Proyectos\MISO\2025 13 Modernizacion\order-management-system\src\main\resources\static\js\script.js", "JavaScript", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 4, 3, 36
"c:\Proyectos\MISO\2025 13 Modernizacion\order-management-system\src\main\resources\templates\admin\dashboard.html", "HTML", 0, 0, 353, 0, 0, 0, 0, 0, 0, 0, 1, 36, 390
"c:\Proyectos\MISO\2025 13 Modernizacion\order-management-system\src\main\resources\templates\admin\logs.html", "HTML", 0, 0, 204, 0, 0, 0, 0, 0, 0, 0, 0, 12, 216
"c:\Proyectos\MISO\2025 13 Modernizacion\order-management-system\src\main\resources\templates\error.html", "HTML", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 7, 44
"c:\Proyectos\MISO\2025 13 Modernizacion\order-management-system\src\main\resources\templates\login.html", "HTML", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 9, 77
"c:\Proyectos\MISO\2025 13 Modernizacion\order-management-system\src\main\resources\templates\orders\form.html", "HTML", 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 6, 79
"c:\Proyectos\MISO\2025 13 Modernizacion\order-management-system\src\main\resources\templates\orders\list.html", "HTML", 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 3, 6, 92
"c:\Proyectos\MISO\2025 13 Modernizacion\order-management-system\src\main\resources\templates\products\form.html", "HTML", 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 7, 68
"c:\Proyectos\MISO\2025 13 Modernizacion\order-management-system\src\main\resources\templates\products\list.html", "HTML", 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 4, 6, 91
"c:\Proyectos\MISO\2025 13 Modernizacion\order-management-system\src\main\resources\templates\users\form.html", "HTML", 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 10, 101
"c:\Proyectos\MISO\2025 13 Modernizacion\order-management-system\src\main\resources\templates\users\list.html", "HTML", 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 5, 100
"c:\Proyectos\MISO\2025 13 Modernizacion\order-management-system\src\test\java\com\example\crud\OrderManagementSystemApplicationTests.java", "Java", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 4, 13
"c:\Proyectos\MISO\2025 13 Modernizacion\order-management-system\src\test\java\com\example\crud\config\TestSecurityConfig.java", "Java", 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 9, 60
"c:\Proyectos\MISO\2025 13 Modernizacion\order-management-system\src\test\java\com\example\crud\config\TestUserDetailsConfig.java", "Java", 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 7, 36
"c:\Proyectos\MISO\2025 13 Modernizacion\order-management-system\src\test\java\com\example\crud\controller\ProductControllerTest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 12, 26, 138
"c:\Proyectos\MISO\2025 13 Modernizacion\order-management-system\src\test\java\com\example\crud\service\UserServiceTest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 113, 0, 0, 22, 34, 169
"Total", "-", 392, 125, 1146, 51, 248, 10, 15, 2039, 28, 33, 205, 838, 5130
